"DateTime","depth","light","DateTime_local","num_day","temperature","dn","instrument_name","rownum","diveNo","date","track_DateTime","latitude","longitude","platform"
2016-08-25,NA,NA,2016-08-24 20:00:00,17038,NA,NA,"160424_2016_141247",1,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 17:00:00,NA,NA,2016-08-25 13:00:00,17038,NA,"d","160424_2016_141247",2,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 17:35:00,6,NA,2016-08-25 13:35:00,17038,NA,"d","160424_2016_141247",3,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 17:37:30,8,NA,2016-08-25 13:37:30,17038,NA,"d","160424_2016_141247",4,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 17:40:00,8,NA,2016-08-25 13:40:00,17038,NA,"d","160424_2016_141247",5,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 17:42:30,8,NA,2016-08-25 13:42:30,17038,NA,"d","160424_2016_141247",6,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 17:45:00,4,NA,2016-08-25 13:45:00,17038,NA,"d","160424_2016_141247",7,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 17:47:30,10,NA,2016-08-25 13:47:30,17038,NA,"d","160424_2016_141247",8,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 17:50:00,9,NA,2016-08-25 13:50:00,17038,NA,"d","160424_2016_141247",9,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 17:52:30,6,NA,2016-08-25 13:52:30,17038,NA,"d","160424_2016_141247",10,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 17:55:00,4,NA,2016-08-25 13:55:00,17038,NA,"d","160424_2016_141247",11,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 17:57:30,5,NA,2016-08-25 13:57:30,17038,NA,"d","160424_2016_141247",12,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 18:00:00,5,NA,2016-08-25 14:00:00,17038,NA,"d","160424_2016_141247",13,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 18:02:30,12,NA,2016-08-25 14:02:30,17038,NA,"d","160424_2016_141247",14,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 18:05:00,10,NA,2016-08-25 14:05:00,17038,NA,"d","160424_2016_141247",15,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 18:07:30,10,NA,2016-08-25 14:07:30,17038,NA,"d","160424_2016_141247",16,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
2016-08-25 18:10:00,7.5,NA,2016-08-25 14:10:00,17038,NA,"d","160424_2016_141247",17,NA,2016-08-25,2016-08-25,41.4869999999999,-69.326,"Prionace glauca"
