Date,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,ptt,owner
2015-10-21,91.8,8.2,0,0,0,0,0,0,141254,Camrin Braun
2015-10-22,67,32,1,0,0,0,0,0,141254,Camrin Braun
2015-10-23,82.69999999999999,17.299999999999997,0,0,0,0,0,0,141254,Camrin Braun
2015-10-24,77.8,22.299999999999997,0,0,0,0,0,0,141254,Camrin Braun
2015-10-25,56.5,42.5,1,0,0,0,0,0,141254,Camrin Braun
2015-10-26,52.6,46.4,1,0,0,0,0,0,141254,Camrin Braun
2015-10-27,32.6,52,15.3,0,0,0,0,0,141254,Camrin Braun
2015-10-29,45.900000000000006,53,1,0,0,0,0,0,141254,Camrin Braun
2015-10-30,21.9,67.7,9.4,1,0,0,0,0,141254,Camrin Braun
2015-10-31,2,59,23,10,5,1,0,0,141254,Camrin Braun
2015-11-01,23.299999999999997,50.5,13.1,12.1,1,0,0,0,141254,Camrin Braun
2015-11-02,9.2,58.199999999999996,10.2,17.3,5.1,0,0,0,141254,Camrin Braun
2015-11-03,32,44.3,8.2,14.4,1,0,0,0,141254,Camrin Braun
2015-11-05,43.900000000000006,47.900000000000006,4.1,4.1,0,0,0,0,141254,Camrin Braun
2015-11-06,21.700000000000003,62.9,6.2,7.2,2.1,0,0,0,141254,Camrin Braun
2015-11-07,37.9,43.2,4.2,10.5,4.2,0,0,0,141254,Camrin Braun
2015-11-08,53.1,32.7,5.1,6.1,3.1,0,0,0,141254,Camrin Braun
2015-11-09,28.900000000000002,46.400000000000006,7.2,9.3,7.2,1,0,0,141254,Camrin Braun
2015-11-10,30.200000000000003,42.7,11.5,11.5,4.2,0,0,0,141254,Camrin Braun
2015-11-11,30.2,33.3,9.4,20.8,5.2,1,0,0,141254,Camrin Braun
2015-11-12,25.700000000000003,24.700000000000003,20.6,22.7,6.2,0,0,0,141254,Camrin Braun
2015-11-13,30.9,28.9,8.2,21.6,10.3,0,0,0,141254,Camrin Braun
2015-11-14,18.5,40.2,16.5,22.7,2.1,0,0,0,141254,Camrin Braun
2015-11-15,16.7,34.4,13.5,27.1,8.3,0,0,0,141254,Camrin Braun
2015-11-16,24,26,16.7,27.1,6.3,0,0,0,141254,Camrin Braun
2015-11-17,4.1,22.6,9.3,37.1,25.8,1,0,0,141254,Camrin Braun
2015-11-18,43.3,40.2,4.1,10.3,2.1,0,0,0,141254,Camrin Braun
2015-11-19,63.2,18.4,3.1,11.2,4.1,0,0,0,141254,Camrin Braun
2015-11-20,31,29.900000000000002,13.4,16.5,9.3,0,0,0,141254,Camrin Braun
2015-11-21,29.900000000000002,26.8,15.5,22.7,5.2,0,0,0,141254,Camrin Braun
2015-11-22,28.6,24.5,10.2,18.4,17.3,1,0,0,141254,Camrin Braun
2015-11-23,18.8,34.4,11.5,22.9,11.5,1,0,0,141254,Camrin Braun
2015-11-24,14.7,24.200000000000003,24.2,17.9,11.6,7.4,0,0,141254,Camrin Braun
2015-11-25,9.3,10.299999999999999,45.4,27.8,6.2,1,0,0,141254,Camrin Braun
2015-11-26,10.3,10.299999999999999,42.3,34,2.1,1,0,0,141254,Camrin Braun
2015-11-28,22.7,43.3,21.6,11.3,1,0,0,0,141254,Camrin Braun
2015-11-29,12.2,12.2,45.9,25.5,3.1,1,0,0,141254,Camrin Braun
2015-11-30,23.8,15.4,35.1,15.5,5.2,4.1,1,0,141254,Camrin Braun
2015-12-01,19.4,23.5,44.9,12.2,0,0,0,0,141254,Camrin Braun
2015-12-02,32,36.1,20.6,11.3,0,0,0,0,141254,Camrin Braun
2015-12-03,27.8,34,16.5,18.6,3.1,0,0,0,141254,Camrin Braun
2015-12-04,56.7,18.5,10.3,8.2,5.2,1,0,0,141254,Camrin Braun
2015-12-05,64.3,30.599999999999998,4.1,1,0,0,0,0,141254,Camrin Braun
2015-12-06,58.199999999999996,28.599999999999998,11.2,1,1,0,0,0,141254,Camrin Braun
2015-12-07,59.2,21.5,15.3,4.1,0,0,0,0,141254,Camrin Braun
2015-12-08,17.700000000000003,22.9,11.5,25,18.8,4.2,0,0,141254,Camrin Braun
2015-12-09,11.2,15.299999999999999,18.4,31.6,22.4,1,0,0,141254,Camrin Braun
2015-12-10,16.5,19.6,17.5,34,12.4,0,0,0,141254,Camrin Braun
2015-12-11,22.4,15.299999999999999,9.2,26.5,20.4,5.1,1,0,141254,Camrin Braun
2015-12-12,27.299999999999997,21.2,10.1,23.2,17.2,1,0,0,141254,Camrin Braun
2015-12-13,26.8,20.6,12.4,28.9,11.3,0,0,0,141254,Camrin Braun
2015-12-14,37.900000000000006,13.7,13.7,16.8,17.9,0,0,0,141254,Camrin Braun
2015-12-15,26.8,14.399999999999999,7.2,24.7,25.8,1,0,0,141254,Camrin Braun
2015-12-17,37.1,19.5,11.3,13.4,17.5,1,0,0,141254,Camrin Braun
2015-12-19,45.800000000000004,17.7,15.6,15.6,5.2,0,0,0,141254,Camrin Braun
