kode,species,cluster
2015-10-31_141254,P.glauca,1
2015-10-27_141256,P.glauca,2
2015-10-28_141256,P.glauca,2
2015-10-30_141256,P.glauca,1
2015-10-31_141256,P.glauca,2
2015-10-30_141257,I.oxyrinchus,1
2015-10-31_141257,I.oxyrinchus,1
2015-10-27_141259,P.glauca,2
2015-10-28_141259,P.glauca,2
2015-10-30_141259,P.glauca,1
2015-10-31_141259,P.glauca,2
2015-11-01_141254,P.glauca,1
2015-11-02_141254,P.glauca,2
2015-11-03_141254,P.glauca,2
2015-11-04_141254,P.glauca,2
2015-11-05_141254,P.glauca,1
2015-11-06_141254,P.glauca,1
2015-11-07_141254,P.glauca,2
2015-11-08_141254,P.glauca,2
2015-11-09_141254,P.glauca,2
2015-11-11_141254,P.glauca,2
2015-11-12_141254,P.glauca,2
2015-11-14_141254,P.glauca,2
2015-11-15_141254,P.glauca,2
2015-11-19_141254,P.glauca,2
2015-11-20_141254,P.glauca,2
2015-11-21_141254,P.glauca,2
2015-11-24_141254,P.glauca,2
2015-11-25_141254,P.glauca,2
2015-11-27_141254,P.glauca,2
2015-11-28_141254,P.glauca,2
2015-11-29_141254,P.glauca,2
2015-11-30_141254,P.glauca,2
2015-11-03_141256,P.glauca,2
2015-11-04_141256,P.glauca,2
2015-11-05_141256,P.glauca,2
2015-11-06_141256,P.glauca,2
2015-11-09_141256,P.glauca,2
2015-11-10_141256,P.glauca,2
2015-11-11_141256,P.glauca,2
2015-11-14_141256,P.glauca,3
2015-11-17_141256,P.glauca,2
2015-11-18_141256,P.glauca,2
2015-11-21_141256,P.glauca,2
2015-11-23_141256,P.glauca,4
2015-11-25_141256,P.glauca,4
2015-11-28_141256,P.glauca,5
2015-11-04_141257,I.oxyrinchus,1
2015-11-06_141257,I.oxyrinchus,1
2015-11-08_141257,I.oxyrinchus,1
2015-11-09_141257,I.oxyrinchus,1
2015-11-10_141257,I.oxyrinchus,1
2015-11-11_141257,I.oxyrinchus,2
2015-11-12_141257,I.oxyrinchus,1
2015-11-13_141257,I.oxyrinchus,1
2015-11-14_141257,I.oxyrinchus,1
2015-11-15_141257,I.oxyrinchus,1
2015-11-17_141257,I.oxyrinchus,1
2015-11-19_141257,I.oxyrinchus,2
2015-11-20_141257,I.oxyrinchus,1
2015-11-21_141257,I.oxyrinchus,1
2015-11-22_141257,I.oxyrinchus,1
2015-11-25_141257,I.oxyrinchus,1
2015-11-02_141259,P.glauca,2
2015-11-03_141259,P.glauca,2
2015-11-04_141259,P.glauca,2
2015-11-05_141259,P.glauca,2
2015-11-06_141259,P.glauca,2
2015-11-08_141259,P.glauca,2
2015-11-10_141259,P.glauca,1
2015-11-11_141259,P.glauca,2
2015-11-13_141259,P.glauca,2
2015-11-20_141259,P.glauca,2
2015-11-25_141259,P.glauca,2
2015-12-02_141254,P.glauca,1
2015-12-03_141254,P.glauca,2
2015-12-04_141254,P.glauca,2
2015-12-05_141254,P.glauca,1
2015-12-06_141254,P.glauca,1
2015-12-07_141254,P.glauca,2
2015-12-08_141254,P.glauca,2
2015-12-09_141254,P.glauca,2
2015-12-11_141254,P.glauca,2
2015-12-12_141254,P.glauca,2
2015-12-13_141254,P.glauca,2
2015-12-14_141254,P.glauca,2
2015-12-15_141254,P.glauca,2
2015-12-16_141254,P.glauca,2
2015-12-17_141254,P.glauca,2
2015-12-18_141254,P.glauca,2
