ptt,Date,d.b1,d.b2,d.b3,d.b4,d.b5,d.b6,d.b7,d.b8,d.sd,n.b1,n.b2,n.b3,n.b4,n.b5,n.b6,n.b7,n.b8,n.sd,species,kode,bathy,latitude,longitude,x,y,xmin,xmax,ymin,ymax,sst,sst_sd,ssh,ssh_sd,eke,ild.5,n2,chloro,lunar
141254,2015-10-31,0,56.126482213438734,16.99604743083004,16.600790513833992,10.276679841897234,0,0,0,75.07179683496402,2.786377708978328,72.75541795665634,19.195046439628484,5.263157894736842,0,0,0,0,27.986162213938464,P.glauca,2015-10-31_141254,-1301.1471584435665,39.95,-68.875,-68.875,39.95,-69,-68.75,39.825,40.075,19.431999973021448,0.531755634327385,-0.6290000298758969,0.02438123255525934,-1.664321456387673,60,4.452360186232635e-5,0.7192426919937134,0.8551628595611334
141256,2015-10-27,0,1.4925373134328357,25.37313432835821,60.447761194029844,12.686567164179104,0,0,0,41.17113136811279,5.6000000000000005,26.8,57.599999999999994,10,0,0,0,0,28.913356302767117,P.glauca,2015-10-27_141256,-1421.8338052658808,40.1891287560338,-67.6717247659331,-67.6717247659331,40.1891287560338,-67.7967247659331,-67.5467247659331,40.0641287560338,40.3141287560338,19.739999987650663,0.1424673519531782,-0.6000000284984708,0.0060231039526129565,-2.0655772631450016,40,7.542503863277713e-5,0.7002438902854919,0.9987671147726831
141256,2015-10-28,25,8.75,25,24.375,16.875,0,0,0,83.05216497429937,21.428571428571427,30.80357142857143,22.767857142857142,25,0,0,0,0,50.00947840172713,P.glauca,2015-10-28_141256,-3298.139892578125,39.7757911313316,-67.0810539010594,-67.0810539010594,39.7757911313316,-67.2060539010594,-66.9560539010594,39.6507911313316,39.9007911313316,20.53700002550613,0.10110858230423408,-0.46300002199131995,0.043366976181200764,-0.6840999033478722,35,7.908737470511543e-5,0.4957791268825531,0.9949299384441641
141256,2015-10-30,94.47513812154696,3.867403314917127,1.6574585635359116,0,0,0,0,0,10.33292564395066,4.013377926421405,48.16053511705686,7.6923076923076925,40.13377926421405,0,0,0,0,57.30737742752219,P.glauca,2015-10-30_141256,-3597.3150634765625,39.2983961647286,-67.5759668069335,-67.5759668069335,39.2983961647286,-67.7009668069335,-67.4509668069335,39.1733961647286,39.4233961647286,19.898999995202757,0.26069800708986135,-0.2960000140592456,0.013630032847565707,-1.5237409100509067,70,4.8076219014319774e-5,0.49918079376220703,0.9214713190970427
141256,2015-10-31,3.7593984962406015,0.7518796992481203,5.263157894736842,24.81203007518797,52.63157894736842,12.781954887218044,0,0,75.45937447660225,17.52988047808765,55.37848605577689,17.131474103585656,5.9760956175298805,3.9840637450199203,0,0,0,55.28404285526078,P.glauca,2015-10-31_141256,-2943.844970703125,39.6607647352954,-67.8940669152383,-67.8940669152383,39.6607647352954,-68.0190669152383,-67.7690669152383,39.5357647352954,39.7857647352954,20.410000019473955,0.050855462080891464,-0.43800002080388367,0.022869194338286936,-1.6403067358854189,50,5.828508145345151e-5,0.6006541848182678,0.8551628595611334
141257,2015-10-30,85.36585365853658,14.634146341463413,0,0,0,0,0,0,10.605354936246524,8.695652173913043,8.02675585284281,63.21070234113713,19.063545150501675,1.0033444816053512,0,0,0,42.159812274830045,I.oxyrinchus,2015-10-30_141257,-4526.543348524306,40.5256240961939,-63.532396276804,-63.532396276804,40.5256240961939,-63.657396276804,-63.407396276804,40.4006240961939,40.6506240961939,22.75100013066549,0.09124068117857571,-0.009000000427477062,0.04278434496271005,-1.6802174686663434,80,2.687742983480482e-5,0.428205281496048,0.9214713190970427
141257,2015-10-31,65.68627450980392,7.8431372549019605,8.823529411764707,2.941176470588235,6.372549019607843,8.333333333333332,0,0,102.5797874210915,13.666666666666666,8.333333333333332,56.99999999999999,21,0,0,0,0,42.211935780020134,I.oxyrinchus,2015-10-31_141257,-4520.223307291667,40.4945356012948,-63.6951921653782,-63.6951921653782,40.4945356012948,-63.8201921653782,-63.5701921653782,40.3695356012948,40.6195356012948,22.748000130522996,0.05940749393183294,0.10900000517722219,0.023377934675568156,-1.3636123729310823,90,2.1522397945309112e-5,0.46956947445869446,0.8551628595611334
141259,2015-10-27,28.640776699029125,6.310679611650485,10.679611650485436,31.06796116504854,23.300970873786408,0,0,0,89.6213915618337,63.27433628318584,21.238938053097346,9.29203539823009,6.1946902654867255,0,0,0,0,33.66474227100303,P.glauca,2015-10-27_141259,-3345.179931640625,41.5109735493364,-64.2741603332938,-64.2741603332938,41.5109735493364,-64.3991603332938,-64.1491603332938,41.3859735493364,41.6359735493364,22.159000102546997,0.1886942060115813,-0.4740000225137919,0.029937436181797256,-1.2909336210347329,40,9.165807857444516e-5,0.7336310744285583,0.9987671147726831
141259,2015-10-28,16.94915254237288,3.389830508474576,6.214689265536723,25.98870056497175,23.163841807909606,24.293785310734464,0,0,114.60431826796548,67.53246753246754,18.181818181818183,12.554112554112553,1.7316017316017316,0,0,0,0,26.165382739518922,P.glauca,2015-10-28_141259,-3125.8099365234375,41.7302751738219,-63.5930482680597,-63.5930482680597,41.7302751738219,-63.7180482680597,-63.4680482680597,41.6052751738219,41.8552751738219,19.636999982758425,1.259360358186617,-0.5090000241762027,0.03376923480684166,-0.883963681176309,50,4.751232950799692e-5,0.7452142834663391,0.9949299384441641
141259,2015-10-30,64.31718061674009,12.334801762114537,7.488986784140969,3.0837004405286343,5.726872246696035,1.3215859030837005,5.726872246696035,0,119.98405881374532,19.337016574585636,53.03867403314917,7.18232044198895,13.812154696132598,2.7624309392265194,1.6574585635359116,2.209944751381215,0,92.4560333019033,P.glauca,2015-10-30_141259,-4703.7099609375,40.8577461553528,-61.9015227702428,-61.9015227702428,40.8577461553528,-62.0265227702428,-61.7765227702428,40.7327461553528,40.9827461553528,20.229000010876916,1.3680526041747811,-0.47300002246629447,0.009116529987130147,-1.7428736007216463,50,8.366126585990314e-5,0.5194623470306396,0.9214713190970427
