ptt,Date,species,kode,bathy,latitude,longitude,distance,cluster
"141254",2015/10/31 00:00:00.000,P.glauca,2015/10/31 00:00:00.000,-1301.147158443566695,39.950000000000003,-68.875000000000000,5325.004533693057056,"1"
"141256",2015/10/27 00:00:00.000,P.glauca,2015/10/27 00:00:00.000,-1421.833805265880756,40.189128756033803,-67.671724765933106,10031.702653448777710,"2"
"141256",2015/10/28 00:00:00.000,P.glauca,2015/10/28 00:00:00.000,-3298.139892578125000,39.775791131331601,-67.081053901059406,69809.041230117494706,"2"
"141256",2015/10/30 00:00:00.000,P.glauca,2015/10/30 00:00:00.000,-3597.315063476562500,39.298396164728601,-67.575966806933494,106926.538748692080844,"1"
"141256",2015/10/31 00:00:00.000,P.glauca,2015/10/31 00:00:00.000,-2943.844970703125000,39.660764735295402,-67.894066915238298,63479.989740900957258,"2"
"141257",2015/10/30 00:00:00.000,I.oxyrinchus,2015/10/30 00:00:00.000,-4526.543348524305657,40.525624096193901,-63.532396276804000,223053.536831355770119,"1"
"141257",2015/10/31 00:00:00.000,I.oxyrinchus,2015/10/31 00:00:00.000,-4520.223307291666970,40.494535601294800,-63.695192165378202,212512.644788400619291,"1"
"141259",2015/10/27 00:00:00.000,P.glauca,2015/10/27 00:00:00.000,-3345.179931640625000,41.510973549336398,-64.274160333293807,102612.521180481402553,"2"
"141259",2015/10/28 00:00:00.000,P.glauca,2015/10/28 00:00:00.000,-3125.809936523437500,41.730275173821902,-63.593048268059697,104081.560901263641426,"2"
"141259",2015/10/30 00:00:00.000,P.glauca,2015/10/30 00:00:00.000,-4703.709960937500000,40.857746155352800,-61.901522770242799,216120.508581554342527,"1"
"141259",2015/10/31 00:00:00.000,P.glauca,2015/10/31 00:00:00.000,-4802.240234375000000,40.726448932038501,-61.094661058131599,242097.792086373839993,"2"
"141254",2015/11/01 00:00:00.000,P.glauca,2015/11/01 00:00:00.000,-1675.229760796360779,39.774999999999999,-68.950000000000003,23504.958723913772701,"1"
"141254",2015/11/02 00:00:00.000,P.glauca,2015/11/02 00:00:00.000,-2437.301140485491032,39.625000000000000,-68.875000000000000,40837.563466958737990,"2"
"141254",2015/11/03 00:00:00.000,P.glauca,2015/11/03 00:00:00.000,-1969.766188924962762,39.625000000000000,-69.325000000000003,29236.080060647029313,"2"
"141254",2015/11/04 00:00:00.000,P.glauca,2015/11/04 00:00:00.000,-2091.965699827516346,39.625000000000000,-69.400000000000006,28110.125592905464146,"2"
"141254",2015/11/05 00:00:00.000,P.glauca,2015/11/05 00:00:00.000,-2449.037969589232944,39.424999999999997,-69.650000000000006,46589.652530478975677,"1"
"141254",2015/11/06 00:00:00.000,P.glauca,2015/11/06 00:00:00.000,-2496.126927462491039,39.399999999999999,-69.650000000000006,49350.149002398429730,"1"
"141254",2015/11/07 00:00:00.000,P.glauca,2015/11/07 00:00:00.000,-2529.594152673498229,39.375000000000000,-69.625000000000000,52362.252582879475085,"2"
"141254",2015/11/08 00:00:00.000,P.glauca,2015/11/08 00:00:00.000,-2502.411848280165032,39.375000000000000,-69.849999999999994,52148.429011854321288,"2"
"141254",2015/11/09 00:00:00.000,P.glauca,2015/11/09 00:00:00.000,-2592.698584970801676,39.299999999999997,-69.875000000000000,60658.002652284914802,"2"
"141254",2015/11/11 00:00:00.000,P.glauca,2015/11/11 00:00:00.000,-3263.786480712890807,38.625000000000000,-69.849999999999994,135262.655106663645711,"2"
"141254",2015/11/12 00:00:00.000,P.glauca,2015/11/12 00:00:00.000,-3507.300488281250182,38.375000000000000,-69.825000000000003,162945.859059109992813,"2"
"141254",2015/11/14 00:00:00.000,P.glauca,2015/11/14 00:00:00.000,-3642.527279940518383,38.350000000000001,-69.375000000000000,168149.708554149721749,"2"
"141254",2015/11/15 00:00:00.000,P.glauca,2015/11/15 00:00:00.000,-4100.728889371142031,37.924999999999997,-68.849999999999994,222351.435158973647049,"2"
"141254",2015/11/19 00:00:00.000,P.glauca,2015/11/19 00:00:00.000,-4380.866553720801676,39.125000000000000,-66.549999999999997,154250.640841537329834,"2"
"141254",2015/11/20 00:00:00.000,P.glauca,2015/11/20 00:00:00.000,-4499.238352272726843,39.100000000000001,-66.125000000000000,172867.704369458777364,"2"
"141254",2015/11/21 00:00:00.000,P.glauca,2015/11/21 00:00:00.000,-4457.171088324652374,39.125000000000000,-65.849999999999994,182441.592339530994650,"2"
"141254",2015/11/24 00:00:00.000,P.glauca,2015/11/24 00:00:00.000,-3226.688736204117049,40.375000000000000,-66.099999999999994,62086.685065698977269,"2"
"141254",2015/11/25 00:00:00.000,P.glauca,2015/11/25 00:00:00.000,-3747.555010114397192,40.625000000000000,-65.349999999999994,93999.405232583667384,"2"
"141254",2015/11/27 00:00:00.000,P.glauca,2015/11/27 00:00:00.000,-4289.547861250620372,40.375000000000000,-64.924999999999997,138833.271193273743847,"2"
"141254",2015/11/28 00:00:00.000,P.glauca,2015/11/28 00:00:00.000,-2834.327675365266259,40.225000000000001,-66.500000000000000,50817.700341542164097,"2"
