ptt,Date,species,kode,bathy,latitude,longitude,distance,cluster
141254,2015/10/31 00:00:00,P.glauca,2015/10/31 00:00:00,-1301.14715844357,39.95,-68.875,5325.00453369306,1
141256,2015/10/27 00:00:00,P.glauca,2015/10/27 00:00:00,-1421.83380526588,40.1891287560338,-67.6717247659331,10031.7026534488,2
141256,2015/10/28 00:00:00,P.glauca,2015/10/28 00:00:00,-3298.13989257812,39.7757911313316,-67.0810539010594,69809.0412301175,2
141256,2015/10/30 00:00:00,P.glauca,2015/10/30 00:00:00,-3597.31506347656,39.2983961647286,-67.5759668069335,106926.538748692,1
141256,2015/10/31 00:00:00,P.glauca,2015/10/31 00:00:00,-2943.84497070312,39.6607647352954,-67.8940669152383,63479.989740901,2
141257,2015/10/30 00:00:00,I.oxyrinchus,2015/10/30 00:00:00,-4526.54334852431,40.5256240961939,-63.532396276804,223053.536831356,1
141257,2015/10/31 00:00:00,I.oxyrinchus,2015/10/31 00:00:00,-4520.22330729167,40.4945356012948,-63.6951921653782,212512.644788401,1
141259,2015/10/27 00:00:00,P.glauca,2015/10/27 00:00:00,-3345.17993164062,41.5109735493364,-64.2741603332938,102612.521180481,2
141259,2015/10/28 00:00:00,P.glauca,2015/10/28 00:00:00,-3125.80993652344,41.7302751738219,-63.5930482680597,104081.560901264,2
141259,2015/10/30 00:00:00,P.glauca,2015/10/30 00:00:00,-4703.7099609375,40.8577461553528,-61.9015227702428,216120.508581554,1
141259,2015/10/31 00:00:00,P.glauca,2015/10/31 00:00:00,-4802.240234375,40.7264489320385,-61.0946610581316,242097.792086374,2
141254,2015/11/01 00:00:00,P.glauca,2015/11/01 00:00:00,-1675.22976079636,39.775,-68.95,23504.9587239138,1
141254,2015/11/02 00:00:00,P.glauca,2015/11/02 00:00:00,-2437.30114048549,39.625,-68.875,40837.5634669587,2
141254,2015/11/03 00:00:00,P.glauca,2015/11/03 00:00:00,-1969.76618892496,39.625,-69.325,29236.080060647,2
141254,2015/11/04 00:00:00,P.glauca,2015/11/04 00:00:00,-2091.96569982752,39.625,-69.4,28110.1255929055,2
141254,2015/11/05 00:00:00,P.glauca,2015/11/05 00:00:00,-2449.03796958923,39.425,-69.65,46589.652530479,1
141254,2015/11/06 00:00:00,P.glauca,2015/11/06 00:00:00,-2496.12692746249,39.4,-69.65,49350.1490023984,1
141254,2015/11/07 00:00:00,P.glauca,2015/11/07 00:00:00,-2529.5941526735,39.375,-69.625,52362.2525828795,2
141254,2015/11/08 00:00:00,P.glauca,2015/11/08 00:00:00,-2502.41184828017,39.375,-69.85,52148.4290118543,2
141254,2015/11/09 00:00:00,P.glauca,2015/11/09 00:00:00,-2592.6985849708,39.3,-69.875,60658.0026522849,2
141254,2015/11/11 00:00:00,P.glauca,2015/11/11 00:00:00,-3263.78648071289,38.625,-69.85,135262.655106664,2
141254,2015/11/12 00:00:00,P.glauca,2015/11/12 00:00:00,-3507.30048828125,38.375,-69.825,162945.85905911,2
141254,2015/11/14 00:00:00,P.glauca,2015/11/14 00:00:00,-3642.52727994052,38.35,-69.375,168149.70855415,2
141254,2015/11/15 00:00:00,P.glauca,2015/11/15 00:00:00,-4100.72888937114,37.925,-68.85,222351.435158974,2
141254,2015/11/19 00:00:00,P.glauca,2015/11/19 00:00:00,-4380.8665537208,39.125,-66.55,154250.640841537,2
141254,2015/11/20 00:00:00,P.glauca,2015/11/20 00:00:00,-4499.23835227273,39.1,-66.125,172867.704369459,2
141254,2015/11/21 00:00:00,P.glauca,2015/11/21 00:00:00,-4457.17108832465,39.125,-65.85,182441.592339531,2
141254,2015/11/24 00:00:00,P.glauca,2015/11/24 00:00:00,-3226.68873620412,40.375,-66.1,62086.685065699,2
141254,2015/11/25 00:00:00,P.glauca,2015/11/25 00:00:00,-3747.5550101144,40.625,-65.35,93999.4052325837,2
141254,2015/11/27 00:00:00,P.glauca,2015/11/27 00:00:00,-4289.54786125062,40.375,-64.925,138833.271193274,2
141254,2015/11/28 00:00:00,P.glauca,2015/11/28 00:00:00,-2834.32767536527,40.225,-66.5,50817.7003415422,2
141254,2015/11/29 00:00:00,P.glauca,2015/11/29 00:00:00,-4180.46660922973,40.125,-65.375,125300.749379224,2
141254,2015/11/30 00:00:00,P.glauca,2015/11/30 00:00:00,-3887.2196877504,40.175,-65.6,107856.360515193,2
141256,2015/11/03 00:00:00,P.glauca,2015/11/03 00:00:00,-1344.57225206163,40.1879778872781,-67.8767762443496,8171.35259972044,2
141256,2015/11/04 00:00:00,P.glauca,2015/11/04 00:00:00,-3163.47831217448,39.6951577765862,-67.4160211572221,68761.6883117403,2
141256,2015/11/05 00:00:00,P.glauca,2015/11/05 00:00:00,-3568.57006835938,39.2482593231516,-67.5473290459944,112843.804315679,2
141256,2015/11/06 00:00:00,P.glauca,2015/11/06 00:00:00,-3053.6298828125,39.3826158158349,-68.3491436076764,77338.7784291601,2
141256,2015/11/09 00:00:00,P.glauca,2015/11/09 00:00:00,-2681.28002929688,39.1328089643554,-69.9316199808856,79199.8618178014,2
141256,2015/11/10 00:00:00,P.glauca,2015/11/10 00:00:00,-2896.75,38.8394232186491,-70.3109126245476,112062.201853054,2
141256,2015/11/11 00:00:00,P.glauca,2015/11/11 00:00:00,-2852.61010742188,39.007842384413,-70.7420304703305,92258.6532006876,2
141256,2015/11/14 00:00:00,P.glauca,2015/11/14 00:00:00,-2973.580078125,38.797039918808,-70.6273095318589,115108.749629551,3
141256,2015/11/17 00:00:00,P.glauca,2015/11/17 00:00:00,-3889.29992675781,37.9434564460275,-69.9887213381745,211209.054960185,2
141256,2015/11/18 00:00:00,P.glauca,2015/11/18 00:00:00,-4062.08508300781,37.821812773585,-69.3372247775739,226589.146798319,2
141256,2015/11/21 00:00:00,P.glauca,2015/11/21 00:00:00,-4473.5849609375,38.7493893353517,-66.9013978437342,181468.063385836,2
141256,2015/11/23 00:00:00,P.glauca,2015/11/23 00:00:00,-4604.59008789062,38.622905948552,-66.1791753915596,218361.34622335,4
141256,2015/11/25 00:00:00,P.glauca,2015/11/25 00:00:00,-5059.2900390625,37.5012397968309,-63.0203751581026,476197.513464067,4
141256,2015/11/28 00:00:00,P.glauca,2015/11/28 00:00:00,-5108.01257324219,35.0609042582074,-63.2867247312148,686965.901759649,5
141257,2015/11/04 00:00:00,I.oxyrinchus,2015/11/04 00:00:00,-4318.91837565104,40.7559864540997,-63.7922710107815,191579.678233918,1
141257,2015/11/06 00:00:00,I.oxyrinchus,2015/11/06 00:00:00,-4397.81506347656,40.6448183376374,-63.663171551804,207118.221929477,1
141257,2015/11/08 00:00:00,I.oxyrinchus,2015/11/08 00:00:00,-4432.85668945312,40.6176656442897,-63.6525572464873,209283.390265055,1
141257,2015/11/09 00:00:00,I.oxyrinchus,2015/11/09 00:00:00,-4467.78002929688,40.6117276367783,-63.6694007705693,208321.065372395,1
141257,2015/11/10 00:00:00,I.oxyrinchus,2015/11/10 00:00:00,-4736.03002929688,40.1507894919889,-63.6102098123684,238758.683270202,1
141257,2015/11/11 00:00:00,I.oxyrinchus,2015/11/11 00:00:00,-4726.22439236111,40.2458087812109,-63.9513108941362,208991.072369323,2
141257,2015/11/12 00:00:00,I.oxyrinchus,2015/11/12 00:00:00,-4588.89990234375,40.4080720813124,-63.9439563668086,199252.061775042,1
